day,first_price,vw_avg_price,flag,first_trade_time
2012-09-05,141.82,141.40318281455504,False,
2012-09-06,141.28,140.20429780876492,False,
2012-09-07,140.17,140.65274932614557,False,
2012-09-10,140.52,140.32003480278422,True,21:26:35.000044
2012-09-11,140.81,140.38025641025644,False,
2012-09-12,140.32,139.54712695652174,False,
2012-09-13,139.63,140.28924360400444,False,
2012-09-14,140.08,138.74315397350995,False,
2012-09-17,138.82,139.00494133574006,False,
2012-09-18,139.23,139.46038375558868,False,
2012-09-19,139.08,139.70870625245772,False,
2012-09-20,139.91,140.2119083255379,True,21:21:35.000159
2012-09-21,139.82,139.99763422818793,False,
2012-09-24,140.18,140.40079340546112,False,
2012-09-25,140.41,140.0555961440893,True,20:36:27.000350
2012-09-26,140.69,141.6422989690721,False,
2012-09-27,141.5,141.56660649819494,True,17:57:24.000319
2012-09-28,141.46,141.76633246366006,True,18:09:13.000390
2012-10-01,141.69,141.3977115716753,False,
2012-10-02,141.65,141.43240534521158,False,
2012-10-03,141.74,141.5852705061082,True,19:33:37.000824
2012-10-04,141.57,141.66557532621587,True,18:19:18.000007
2012-10-05,141.32,140.87370192307694,False,
2012-10-08,141.07,141.38766995932596,False,
2012-10-09,141.29,141.37572273879968,False,
2012-10-10,141.4,141.22938254410397,True,18:35:27.000835
2012-10-11,141.68,141.1452468193384,False,
2012-10-12,141.41,141.7036848137536,False,
2012-10-15,141.75,141.54844382414515,False,
2012-10-16,141.38,140.77030411449016,False,
2012-10-17,140.55,139.74863007870664,False,
2012-10-18,139.49,139.8201396348013,False,
2012-10-19,139.74,140.1147135564379,False,
2012-10-22,140.22,139.87209876543207,False,
2012-10-23,139.87,140.3471505376344,False,
2012-10-24,140.19,140.4699594484996,False,
2012-10-25,140.2,140.38554418103448,False,
2012-10-26,140.56,140.84745624270715,False,
2012-10-29,141.06,141.70434179821552,False,
2012-10-30,141.82,141.53971649484535,False,
2012-10-31,141.57,141.6826467232856,False,
2012-11-01,141.62,141.70974722564733,True,21:41:09.000939
2012-11-02,141.68,141.8748933939182,False,
2012-11-05,142.07,142.13112994350283,True,21:39:46.000273
2012-11-06,142.05,142.0901488833747,True,17:39:33.000780
2012-11-07,142.08,142.74634266886326,False,
2012-11-08,142.71,142.97937869822485,False,
2012-11-09,143.05,143.13964867180806,True,18:26:34.000912
2012-11-12,143.2,143.17391432791723,True,17:15:16.000572
2012-11-13,143.33,143.1378597785978,True,19:48:31.000981
2012-11-14,143.2,143.13954187007133,True,17:35:43.000480
2012-11-15,143.34,143.13154822335025,False,
2012-11-16,143.32,143.31294369973193,True,17:15:00.000032
2012-11-19,143.11,142.99608782435132,False,
2012-11-20,143.06,142.38037455602193,False,
2012-11-21,142.57,142.16962068965515,False,
2012-11-22,142.19,142.15777219430484,True,17:17:05.000071
2012-11-23,142.15,142.122300405954,True,17:26:15.000076
2012-11-26,142.23,142.4257085020243,False,
2012-11-27,142.12,142.23547874306837,True,17:53:46.000550
2012-11-28,142.4,142.95155054369715,False,
2012-11-29,142.8,142.8465526315789,False,
2012-11-30,142.88,142.79307902924705,True,18:53:09.000007
2012-12-03,142.89,142.50986394557825,False,
